45,359,6185,102,421
11.38,86.01,278.51,12.77,39.11
293.93,33.44,240.44,11.49,220.66
155.3457121,6.73,6.44,311.2965408,5.09
213.5,6.25,76.51244504,213.5,7.85
395.74,12.36,34.35,405.26,63.53
11.49,561.86,92.38,195.33,10.32
12.19,660.0,15.85,10.58,6.25
543.75,16.66,31.24,214.93,179.12
659.36,484.36,44.1,37.09,398.5758253
636.48,419.51,118.34,382.45,7.08
291.41,838.31,325.56,217.94,311.2965408
838.31,543.75,529.11,406.47,345.3800939
766.85,731.11,543.75,226.25,268.25
800.58,552.26,452.8,424.1973941,424.1973941
695.67,452.8,660.0,398.5758253,697.4
433.78,1243.67,552.26,345.3800939,636.48
602.48,1089.12,731.11,268.25,738.1
484.36,291.41,770.35,697.4,637.46
607.72,772.94,546.79,637.46,160.6199195
336.24,160.6199195,490.06,636.48,419.51
562.06,162.7067112,904.29,738.1,405.26
731.11,475.46,634.35,240.44,220.57
772.94,904.29,852.33,419.51,772.94
1089.12,634.35,804.11,1089.12,731.11
725.7933279,824.47,725.7933279,552.26,552.26
688.74,490.06,688.74,291.41,291.41
824.47,804.11,839.28,852.33,660.0
490.06,839.28,788.8326479,804.11,452.8
634.35,852.33,824.47,725.7933279,1089.12
852.33,788.8326479,658.86,634.35,543.75
804.11,688.74,772.94,839.28,529.11
839.28,725.7933279,291.41,788.8326479,770.35
788.8326479,546.79,1089.12,490.06,490.06
904.29,658.86,160.6199195,688.74,546.79
546.79,770.35,1243.67,824.47,658.86
658.86,529.11,535.99,904.29,804.11
770.35,535.99,475.46,546.79,634.35
452.8,766.85,162.7067112,658.86,852.33
660.0,226.22,226.22,770.35,839.28
552.26,325.56,433.78,731.11,725.7933279
160.6199195,433.78,838.31,452.8,788.8326479
226.22,336.24,336.24,772.94,688.74
475.46,602.48,800.58,660.0,824.47
325.56,800.58,695.67,543.75,904.29
535.99,695.67,766.85,160.6199195,1243.67
618.72,540.19,602.48,529.11,535.99
529.11,618.72,540.19,535.99,475.46
1243.67,280.38,280.38,1243.67,162.7067112
280.38,291.83,291.83,475.46,433.78
540.19,348.88,618.72,162.7067112,838.31
